Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
SERVER,System,IPsec Driver,{0CCE9213-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,System Integrity,{0CCE9212-69AE-11D9-BED3-505054503030},Success and Failure,,3
SERVER,System,Security System Extension,{0CCE9211-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Security State Change,{0CCE9210-69AE-11D9-BED3-505054503030},Success,,1
SERVER,System,Other System Events,{0CCE9214-69AE-11D9-BED3-505054503030},Success and Failure,,3
SERVER,System,Group Membership,{0CCE9249-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,User / Device Claims,{0CCE9247-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Network Policy Server,{0CCE9243-69AE-11D9-BED3-505054503030},Success and Failure,,3
SERVER,System,Other Logon/Logoff Events,{0CCE921C-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Special Logon,{0CCE921B-69AE-11D9-BED3-505054503030},Success,,1
SERVER,System,IPsec Extended Mode,{0CCE921A-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,IPsec Quick Mode,{0CCE9219-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,IPsec Main Mode,{0CCE9218-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Account Lockout,{0CCE9217-69AE-11D9-BED3-505054503030},Success,,1
SERVER,System,Logoff,{0CCE9216-69AE-11D9-BED3-505054503030},Success,,1
SERVER,System,Logon,{0CCE9215-69AE-11D9-BED3-505054503030},Success and Failure,,3
SERVER,System,Handle Manipulation,{0CCE9223-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Central Policy Staging,{0CCE9246-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Removable Storage,{0CCE9245-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Detailed File Share,{0CCE9244-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Other Object Access Events,{0CCE9227-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Filtering Platform Connection,{0CCE9226-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Filtering Platform Packet Drop,{0CCE9225-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,File Share,{0CCE9224-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Application Generated,{0CCE9222-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Certification Services,{0CCE9221-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,SAM,{0CCE9220-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Kernel Object,{0CCE921F-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Registry,{0CCE921E-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,File System,{0CCE921D-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Other Privilege Use Events,{0CCE922A-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Non Sensitive Privilege Use,{0CCE9229-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Sensitive Privilege Use,{0CCE9228-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,RPC Events,{0CCE922E-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Token Right Adjusted Events,{0CCE924A-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Process Creation,{0CCE922B-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Process Termination,{0CCE922C-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Plug and Play Events,{0CCE9248-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,DPAPI Activity,{0CCE922D-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Other Policy Change Events,{0CCE9234-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Authentication Policy Change,{0CCE9230-69AE-11D9-BED3-505054503030},Success,,1
SERVER,System,Audit Policy Change,{0CCE922F-69AE-11D9-BED3-505054503030},Success,,1
SERVER,System,Filtering Platform Policy Change,{0CCE9233-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Authorization Policy Change,{0CCE9231-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,MPSSVC Rule-Level Policy Change,{0CCE9232-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Other Account Management Events,{0CCE923A-69AE-11D9-BED3-505054503030},No Auditing,,0
